"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2019","42","PM2.5","PS 19","36-061-0128","AQS","5","29",".","42"
"01/02/2019","64","PM2.5","PS 19","36-061-0128","AQS","6","20",".","64"
"01/03/2019","54","PM2.5","PS 19","36-061-0128","AQS","5","26","11","54"
"01/04/2019","57","PM2.5","Intermediate School 143","36-061-0115","AQS","5","19",".","57"
"01/05/2019","50","PM2.5","DIVISION STREET","36-061-0134","AQS","7","26",".","50"
"01/06/2019","51","PM2.5","DIVISION STREET","36-061-0134","AQS","3","28",".","51"
"01/07/2019","36","PM2.5","PS 19","36-061-0128","AQS","5","23",".","36"
"01/08/2019","58","PM2.5","Intermediate School 143","36-061-0115","AQS","10","19",".","58"
"01/09/2019","37","PM2.5","DIVISION STREET","36-061-0134","AQS","7","26","8","37"
"01/10/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","2","26",".","42"
"01/11/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","2","29",".","43"
"01/12/2019","37","PM2.5","DIVISION STREET","36-061-0134","AQS","3","22",".","37"
"01/13/2019","42","PM2.5","PS 19","36-061-0128","AQS","3","23",".","42"
"01/14/2019","42","PM2.5","PS 19","36-061-0128","AQS","3","23",".","42"
"01/15/2019","56","PM2.5","DIVISION STREET","36-061-0134","AQS","8","17","20","56"
"01/16/2019","59","PM2.5","Intermediate School 143","36-061-0115","AQS","8","22",".","59"
"01/17/2019","44","PM2.5","PS 19","36-061-0128","AQS","6",".",".","44"
"01/18/2019","67","PM2.5","PS 19","36-061-0128","AQS","6","8",".","67"
"01/19/2019","48","PM2.5","PS 19","36-061-0128","AQS","5","20",".","48"
"01/20/2019","37","PM2.5","PS 19","36-061-0128","AQS","5","29",".","37"
"01/21/2019","50","PM2.5","Intermediate School 143","36-061-0115","AQS","2","31","7","50"
"01/22/2019","52","PM2.5","Intermediate School 143","36-061-0115","AQS","5","25",".","52"
"01/23/2019","49","PM2.5","Intermediate School 143","36-061-0115","AQS","8","14",".","49"
"01/24/2019","30","PM2.5","Intermediate School 143","36-061-0115","AQS","8","25",".","30"
"01/25/2019","46","PM2.5","Intermediate School 143","36-061-0115","AQS","3","27",".","46"
"01/26/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","3","23",".","43"
"01/27/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","6","28","15","43"
"01/28/2019","54","PM2.5","PS 19","36-061-0128","AQS","3","26",".","54"
"01/29/2019","50","PM2.5","PS 19","36-061-0128","AQS","11","17",".","50"
"01/30/2019","54","PM2.5","Intermediate School 143","36-061-0115","AQS","3","30",".","54"
"01/31/2019","49","PM2.5","Intermediate School 143","36-061-0115","AQS","3","21",".","49"
"02/01/2019","48","PM2.5","Intermediate School 143","36-061-0115","AQS","6","20",".","48"
"02/02/2019","70","PM2.5","PS 19","36-061-0128","AQS","6","18","27","70"
"02/03/2019","66","PM2.5","Intermediate School 143","36-061-0115","AQS","7","17",".","66"
"02/04/2019","66","PM2.5","Intermediate School 143","36-061-0115","AQS","10","11",".","66"
"02/05/2019","71","PM2.5","DIVISION STREET","36-061-0134","AQS","11","12",".","71"
"02/06/2019","31","PM2.5","PS 19","36-061-0128","AQS","5","13",".","31"
"02/07/2019","40","PM2.5","PS 19","36-061-0128","AQS","5","12",".","40"
"02/08/2019","38","PM2.5","Intermediate School 143","36-061-0115","AQS","6","29","9","38"
"02/09/2019","35","PM2.5","Intermediate School 143","36-061-0115","AQS","2","31",".","35"
"02/10/2019","28","PM2.5","Intermediate School 143","36-061-0115","AQS","3","27",".","28"
"02/11/2019","58","PM2.5","PS 19","36-061-0128","AQS","5","21",".","58"
"02/12/2019","42","PM2.5","PS 19","36-061-0128","AQS","3","24",".","42"
"02/13/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","5","27",".","42"
"02/14/2019","50","PM2.5","Intermediate School 143","36-061-0115","AQS","5","32","15","50"
"02/15/2019","63","PM2.5","PS 19","36-061-0128","AQS","9","30",".","63"
"02/16/2019","39","PM2.5","PS 19","36-061-0128","AQS","8","31",".","39"
"02/17/2019","27","PM2.5","Intermediate School 143","36-061-0115","AQS","3","26",".","27"
"02/18/2019","40","PM2.5","PS 19","36-061-0128","AQS","5","32",".","40"
"02/19/2019","35","PM2.5","Intermediate School 143","36-061-0115","AQS","3","32",".","35"
"02/20/2019","47","PM2.5","PS 19","36-061-0128","AQS","5","23","14","47"
"02/21/2019","35","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32",".","35"
"02/22/2019","45","PM2.5","Intermediate School 143","36-061-0115","AQS","5","34",".","45"
"02/23/2019","51","PM2.5","PS 19","36-061-0128","AQS","5","24",".","51"
"02/24/2019","37","Ozone","CCNY","36-061-0135","AQS","5","37",".","24"
"02/25/2019","45","PM2.5","Intermediate School 143","36-061-0115","AQS","3","36",".","45"
"02/26/2019","32","Ozone","CCNY","36-061-0135","AQS","2","32","9","28"
"02/27/2019","27","Ozone","CCNY","36-061-0135","AQS","3","27",".","25"
"02/28/2019","35","PM2.5","PS 19","36-061-0128","AQS","3","28",".","35"
"03/01/2019","66","PM2.5","PS 19","36-061-0128","AQS","5","27",".","66"
"03/02/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","5","28",".","43"
"03/03/2019","43","PM2.5","PS 19","36-061-0128","AQS","6","35",".","43"
"03/04/2019","39","Ozone","CCNY","36-061-0135","AQS","7","39","10","35"
"03/05/2019","37","PM2.5","Intermediate School 143","36-061-0115","AQS","3","31",".","37"
"03/06/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","3","34",".","42"
"03/07/2019","53","PM2.5","DIVISION STREET","36-061-0134","AQS","3","31",".","53"
"03/08/2019","43","PM2.5","PS 19","36-061-0128","AQS","5","26",".","43"
"03/09/2019","57","PM2.5","PS 19","36-061-0128","AQS","6","35",".","57"
"03/10/2019","53","PM2.5","DIVISION STREET","36-061-0134","AQS","6","35","16","53"
"03/11/2019","40","Ozone","CCNY","36-061-0135","AQS","6","40",".","34"
"03/12/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37",".","34"
"03/13/2019","51","PM2.5","DIVISION STREET","36-061-0134","AQS","7","24",".","51"
"03/14/2019","37","Ozone","CCNY","36-061-0135","AQS","5","37",".","32"
"03/15/2019","60","PM2.5","PS 19","36-061-0128","AQS","6","32",".","60"
"03/16/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37","6","20"
"03/17/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37",".","16"
"03/18/2019","36","Ozone","CCNY","36-061-0135","AQS","5","36",".","23"
"03/19/2019","36","Ozone","CCNY","36-061-0135","AQS","5","36",".","35"
"03/20/2019","41","PM2.5","Intermediate School 143","36-061-0115","AQS","7","40",".","41"
"03/21/2019","47","PM2.5","PS 19","36-061-0128","AQS","5","37",".","47"
"03/22/2019","38","Ozone","CCNY","36-061-0135","AQS","3","38","6","20"
"03/23/2019","39","Ozone","CCNY","36-061-0135","AQS","3","39",".","26"
"03/24/2019","42","Ozone","CCNY","36-061-0135","AQS","3","42",".","23"
"03/25/2019","36","Ozone","CCNY","36-061-0135","AQS","3","36",".","35"
"03/26/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37",".","27"
"03/27/2019","35","PM2.5","PS 19","36-061-0128","AQS","3","34",".","35"
"03/28/2019","34","Ozone","CCNY","36-061-0135","AQS","5","34","19","32"
"03/29/2019","51","PM2.5","Intermediate School 143","36-061-0115","AQS","9","19",".","51"
"03/30/2019","48","PM2.5","CCNY","36-061-0135","AQS","13","43",".","48"
"03/31/2019","46","PM2.5","DIVISION STREET","36-061-0134","AQS","5","34",".","46"
"04/01/2019","36","Ozone","CCNY","36-061-0135","AQS","3","36",".","22"
"04/02/2019","39","Ozone","CCNY","36-061-0135","AQS","5","39",".","23"
"04/03/2019","47","Ozone","CCNY","36-061-0135","AQS","3","47","17","42"
"04/04/2019","43","Ozone","CCNY","36-061-0135","AQS","2","43",".","23"
"04/05/2019","37","PM2.5","PS 19","36-061-0128","AQS","3","29",".","37"
"04/06/2019","47","PM2.5","DIVISION STREET","36-061-0134","AQS","3","42",".","47"
"04/07/2019","45","Ozone","CCNY","36-061-0135","AQS","7","45",".","34"
"04/08/2019","40","Ozone","CCNY","36-061-0135","AQS","5","40",".","38"
"04/09/2019","53","PM2.5","PS 19","36-061-0128","AQS","5","21","19","53"
"04/10/2019","31","Ozone","CCNY","36-061-0135","AQS","5","31",".","11"
"04/11/2019","30","Ozone","CCNY","36-061-0135","AQS","5","30",".","20"
"04/12/2019","34","PM2.5","PS 19","36-061-0128","AQS","5","32",".","34"
"04/13/2019","38","PM2.5","Intermediate School 143","36-061-0115","AQS","6","33",".","38"
"04/14/2019","28","PM2.5","CCNY","36-061-0135","AQS","6","27",".","28"
"04/15/2019","40","Ozone","CCNY","36-061-0135","AQS","3","40","9","18"
"04/16/2019","44","Ozone","CCNY","36-061-0135","AQS","2","44",".","14"
"04/17/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37",".","15"
"04/18/2019","38","PM2.5","PS 19","36-061-0128","AQS","3","33",".","38"
"04/19/2019","43","PM2.5","CCNY","36-061-0135","AQS","5","32",".","43"
"04/20/2019","36","Ozone","CCNY","36-061-0135","AQS","2","36",".","29"
"04/21/2019","39","Ozone","CCNY","36-061-0135","AQS","3","39","16","31"
"04/22/2019","27","PM2.5","PS 19","36-061-0128","AQS","5","25",".","27"
"04/23/2019","37","Ozone","CCNY","36-061-0135","AQS","5","37",".","28"
"04/24/2019","34","Ozone","CCNY","36-061-0135","AQS","5","34",".","23"
"04/25/2019","26","Ozone","CCNY","36-061-0135","AQS","3","26",".","22"
"04/26/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37",".","17"
"04/27/2019","41","Ozone","CCNY","36-061-0135","AQS","3","41","6","18"
"04/28/2019","28","Ozone","CCNY","36-061-0135","AQS","3","28",".","20"
"04/29/2019","33","Ozone","CCNY","36-061-0135","AQS","3","33",".","19"
"04/30/2019","48","PM2.5","PS 19","36-061-0128","AQS","6","23",".","48"
"05/01/2019","29","Ozone","CCNY","36-061-0135","AQS","3","29",".","17"
"05/02/2019","43","PM2.5","DIVISION STREET","36-061-0134","AQS","8","31",".","43"
"05/03/2019","57","PM2.5","DIVISION STREET","36-061-0134","AQS","5","24","12","57"
"05/04/2019","52","PM2.5","DIVISION STREET","36-061-0134","AQS","7","26",".","52"
"05/05/2019","29","Ozone","CCNY","36-061-0135","AQS","5","29",".","15"
"05/06/2019","34","Ozone","CCNY","36-061-0135","AQS","3","34",".","24"
"05/07/2019","38","Ozone","CCNY","36-061-0135","AQS","3","38",".","27"
"05/08/2019","37","Ozone","CCNY","36-061-0135","AQS","3","37",".","31"
"05/09/2019","31","Ozone","CCNY","36-061-0135","AQS","3","31","10","28"
"05/10/2019","34","PM2.5","CCNY","36-061-0135","AQS","5","28",".","34"
"05/11/2019","38","Ozone","CCNY","36-061-0135","AQS","3","38",".","16"
"05/12/2019","31","Ozone","CCNY","36-061-0135","AQS","3","31",".","18"
"05/13/2019","25","Ozone","CCNY","36-061-0135","AQS","3","25",".","10"
"05/14/2019","16","PM2.5","Intermediate School 143","36-061-0115","AQS","5","13",".","16"
"05/15/2019","32","Ozone","CCNY","36-061-0135","AQS","3","32","9","22"
"05/16/2019","44","Ozone","CCNY","36-061-0135","AQS","6","44",".","31"
"05/17/2019","54","PM2.5","Intermediate School 143","36-061-0115","AQS","7","43",".","54"
"05/18/2019","44","Ozone","CCNY","36-061-0135","AQS","3","44",".","28"
"05/19/2019","44","Ozone","CCNY","36-061-0135","AQS","3","44",".","34"
"05/20/2019","44","Ozone","CCNY","36-061-0135","AQS","3","44",".","38"
"05/21/2019","31","Ozone","CCNY","36-061-0135","AQS","2","31","13","18"
"05/22/2019","40","Ozone","CCNY","36-061-0135","AQS","2","40",".","16"
"05/23/2019","31","Ozone","CCNY","36-061-0135","AQS","3","31",".","28"
"05/24/2019","35","Ozone","CCNY","36-061-0135","AQS","3","35",".","26"
"05/25/2019","37","Ozone","CCNY","36-061-0135","AQS","2","37",".","11"
"05/26/2019","43","Ozone","CCNY","36-061-0135","AQS","3","43",".","29"
"05/27/2019","34","Ozone","CCNY","36-061-0135","AQS","5","34","10","29"
"05/28/2019","35","PM2.5","PS 19","36-061-0128","AQS","5","30",".","35"
"05/29/2019","24","Ozone","CCNY","36-061-0135","AQS","5","24",".","19"
"05/30/2019","40","PM2.5","DIVISION STREET","36-061-0134","AQS","5","27",".","40"
"05/31/2019","43","Ozone","CCNY","36-061-0135","AQS","5","43",".","40"
"06/01/2019","51","PM2.5","CCNY","36-061-0135","AQS","3","49",".","51"
"06/02/2019","58","Ozone","CCNY","36-061-0135","AQS","5","58","22","54"
"06/03/2019","34","Ozone","CCNY","36-061-0135","AQS","2","34",".","15"
"06/04/2019","39","Ozone","CCNY","36-061-0135","AQS","2","39",".","26"
"06/05/2019","62","PM2.5","PS 19","36-061-0128","AQS","3","47",".","62"
"06/06/2019","49","Ozone","CCNY","36-061-0135","AQS","3","49",".","24"
"06/07/2019","48","Ozone","CCNY","36-061-0135","AQS","5","48",".","35"
"06/08/2019","43","Ozone","CCNY","36-061-0135","AQS","6","43","12","33"
"06/09/2019","41","Ozone","CCNY","36-061-0135","AQS","2","41",".","13"
"06/10/2019","25","Ozone","CCNY","36-061-0135","AQS","3","25",".","18"
"06/11/2019","32","Ozone","CCNY","36-061-0135","AQS","3","32",".","18"
"06/12/2019","13","PM2.5","DIVISION STREET","36-061-0134","AQS","2",".",".","13"
"06/13/2019","34","Ozone","CCNY","36-061-0135","AQS","2","34",".","7"
"06/14/2019","32","Ozone","CCNY","36-061-0135","AQS","2","32","11","23"
"06/15/2019","51","Ozone","CCNY","36-061-0135","AQS","2","51",".","24"
"06/16/2019","46","PM2.5","PS 19","36-061-0128","AQS","3","44",".","46"
"06/17/2019","52","PM2.5","DIVISION STREET","36-061-0134","AQS","5","27",".","52"
"06/18/2019","47","PM2.5","PS 19","36-061-0128","AQS","5","32",".","47"
"06/19/2019","27","Ozone","CCNY","36-061-0135","AQS","3","27",".","21"
"06/20/2019","39","PM2.5","DIVISION STREET","36-061-0134","AQS","5","20","16","39"
"06/21/2019","28","Ozone","CCNY","36-061-0135","AQS","3","28",".","12"
"06/22/2019","23","Ozone","CCNY","36-061-0135","AQS","2","23",".","8"
"06/23/2019","32","Ozone","CCNY","36-061-0135","AQS","2","32",".","22"
"06/24/2019","50","PM2.5","PS 19","36-061-0128","AQS","3","50",".","50"
"06/25/2019","61","PM2.5","PS 19","36-061-0128","AQS","3","40",".","61"
"06/26/2019","40","PM2.5","DIVISION STREET","36-061-0134","AQS","3",".","14","40"
"06/27/2019","61","Ozone","CCNY","36-061-0135","AQS","3","61",".","28"
"06/28/2019","136","Ozone","CCNY","36-061-0135","AQS","3","136",".","38"
"06/29/2019","58","Ozone","CCNY","36-061-0135","AQS","3","58",".","57"
"06/30/2019","33","Ozone","CCNY","36-061-0135","AQS","2","33",".","18"
"07/01/2019","37","Ozone","CCNY","36-061-0135","AQS","2","37",".","11"
